"cons","edo","NOM_ENT","mun","NOM_MUN","grupo","NOMBRE_GRUPO","monto_venta","animales_venta"
"0056","15","México","067","Otzolotepec","2","equinos",0,0
"0056","15","México","067","Otzolotepec","3","cerdos",0,0
"0056","15","México","067","Otzolotepec","4","aves",0,0
"0056","15","México","067","Otzolotepec","5","cyb",0,0
"0057","15","México","067","Otzolotepec","1","reses",0,0
"0057","15","México","067","Otzolotepec","2","equinos",0,0
"0057","15","México","067","Otzolotepec","3","cerdos",0,0
"0057","15","México","067","Otzolotepec","4","aves",0,0
"0057","15","México","067","Otzolotepec","5","cyb",0,0
"0058","15","México","067","Otzolotepec","1","reses",0,0
"0058","15","México","067","Otzolotepec","2","equinos",0,0
"0058","15","México","067","Otzolotepec","3","cerdos",0,0
"0058","15","México","067","Otzolotepec","4","aves",0,0
"0058","15","México","067","Otzolotepec","5","cyb",0,0
"0059","15","México","067","Otzolotepec","1","reses",0,0
"0059","15","México","067","Otzolotepec","2","equinos",0,0
"0059","15","México","067","Otzolotepec","3","cerdos",0,0
"0059","15","México","067","Otzolotepec","4","aves",0,0
"0059","15","México","067","Otzolotepec","5","cyb",0,0
"0060","15","México","067","Otzolotepec","1","reses",0,0
"0060","15","México","067","Otzolotepec","2","equinos",0,0
"0060","15","México","067","Otzolotepec","3","cerdos",0,0
"0060","15","México","067","Otzolotepec","4","aves",0,0
"0060","15","México","067","Otzolotepec","5","cyb",0,0
"0061","15","México","067","Otzolotepec","1","reses",0,0
"0061","15","México","067","Otzolotepec","2","equinos",0,0
"0061","15","México","067","Otzolotepec","3","cerdos",0,0
"0061","15","México","067","Otzolotepec","4","aves",0,0
"0061","15","México","067","Otzolotepec","5","cyb",0,0
"0062","15","México","067","Otzolotepec","1","reses",0,0
"0062","15","México","067","Otzolotepec","2","equinos",0,0
"0062","15","México","067","Otzolotepec","3","cerdos",0,0
"0062","15","México","067","Otzolotepec","4","aves",0,0
"0062","15","México","067","Otzolotepec","5","cyb",0,0
"0063","15","México","067","Otzolotepec","1","reses",0,0
"0063","15","México","067","Otzolotepec","2","equinos",0,0
"0063","15","México","067","Otzolotepec","3","cerdos",0,0
"0063","15","México","067","Otzolotepec","4","aves",0,0
"0063","15","México","067","Otzolotepec","5","cyb",0,0
"0064","15","México","067","Otzolotepec","1","reses",0,0
"0064","15","México","067","Otzolotepec","2","equinos",0,0
"0064","15","México","067","Otzolotepec","3","cerdos",0,0
"0064","15","México","067","Otzolotepec","4","aves",80,1
"0064","15","México","067","Otzolotepec","5","cyb",0,0
"0065","15","México","067","Otzolotepec","1","reses",0,0
"0065","15","México","067","Otzolotepec","2","equinos",0,0
"0065","15","México","067","Otzolotepec","3","cerdos",0,0
"0065","15","México","067","Otzolotepec","4","aves",0,0
"0065","15","México","067","Otzolotepec","5","cyb",0,0
"0067","15","México","067","Otzolotepec","1","reses",0,0
"0067","15","México","067","Otzolotepec","2","equinos",0,0
"0067","15","México","067","Otzolotepec","3","cerdos",0,0
"0067","15","México","067","Otzolotepec","4","aves",0,0
"0067","15","México","067","Otzolotepec","5","cyb",0,0
"0068","15","México","067","Otzolotepec","1","reses",0,0
"0068","15","México","067","Otzolotepec","2","equinos",0,0
"0068","15","México","067","Otzolotepec","3","cerdos",0,0
"0068","15","México","067","Otzolotepec","4","aves",0,0
"0068","15","México","067","Otzolotepec","5","cyb",0,0
"0069","15","México","067","Otzolotepec","1","reses",0,0
"0069","15","México","067","Otzolotepec","2","equinos",0,0
"0069","15","México","067","Otzolotepec","3","cerdos",0,0
