"","cons","edo","mun","loc","s7c7gp01","s7c7gp02","s7c7gp03a","s7c7gp03b","s7c7gp03c","s7c7gp03d","s7c7gp03e","s7c7gp04a","s7c7gp04b","s7c7gp04c","s7c7gp04d","s7c7gp04e","s7c7gp04_ca","s7c7gp04_cb","s7c7gp04_cc","s7c7gp04_cd","s7c7gp04_ce","s7c7gp05a","s7c7gp05b","s7c7gp05c","s7c7gp05d","s7c7gp05e","s7c7gp06a","s7c7gp06b","s7c7gp06c","s7c7gp06d","s7c7gp06e","s7c7gp07","s7c7gp08","s7c7gp09","s7c7gp09_c","s7c7gp10","s7c7gp11","s7c7gp12","s7c7gp12_c","s7c7gp13","s7c7hp01","s7c7hp02","s7c7hp03","s7c7hp06","s7c7hp07","s7c7hp08","s7c7hp09_lc","s7c7hp10_mc","s7c7hp11_edo"
"3032",1835,11,46,9,1,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,1,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3033",1766,11,17,102,4,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3034",995,30,159,42,1,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,1,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3035",2259,20,453,1,2,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,2,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3036",385,13,59,55,4,1,1,2,NA,NA,NA,10,10,NA,NA,NA,2,2,NaN,NaN,NaN,7,7,NA,NA,NA,12,12,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,1,0,NaN,NaN,NaN,NaN
"3037",808,21,186,29,3,1,2,NA,NA,NA,NA,20,NA,NA,NA,NA,2,NaN,NaN,NaN,NaN,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,3,NaN,NA,1,0,NaN,NaN,NaN,NaN
"3038",1375,27,8,259,4,1,1,2,3,NA,NA,2,1,1,NA,NA,1,1,1,NaN,NaN,6,6,6,NA,NA,12,12,12,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,2,NaN,NaN,NaN,NaN,NaN
"3039",876,21,17,9,1,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,1,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3040",2189,20,260,2,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3041",127,15,124,48,4,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3042",1534,5,30,73,1,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,1,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3043",182,15,124,38,4,1,1,NA,NA,NA,NA,20,NA,NA,NA,NA,2,NaN,NaN,NaN,NaN,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,1,0,NaN,NaN,NaN,NaN
